Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
COUNSELING AND SUPPORT SERVICES FOR YOUTH,26-4655116,Health - General and Rehabilitative N.E.C.,Yes,2020.0,4724608.0,4152628.0,571980.0
PENNSYLVANIA NURSE PEER ASSISTANCE PROGRAM INC,26-4656992,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2021.0,1126504.0,976956.0,149548.0
KENTUCKY INSTITUTE FOR PATIENT SAFETY AND QUALITY INC,26-4657040,Nonmonetary Support N.E.C. (Health — General and Rehabilitative),Yes,2020.0,749327.0,728603.0,20724.0
HKI SUPPORT INC,26-4676791,"Single Organization Support (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,119487000.0,119487000.0,0.0
PARTNERS IN RECOVERY LLC,26-4681471,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020.0,38350793.0,36743494.0,1607299.0
ANGELS AMONG US INC,26-4682140,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2517325.0,1877244.0,
HAROLD J MIOSSI CHARITABLE TRUST,26-4703396,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1218370.0,1658931.0,
NAF HOTLINE FUND,26-4703759,Nonmonetary Support N.E.C. (Health — General and Rehabilitative),Yes,2020.0,60298089.0,44545615.0,15752474.0
AUTISM TRUST USA,26-4708617,"Autism (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1198687.0,172128.0,1026559.0
CAROLYNE E CZAP AND EUGENE A CZAP CHARITABLE FOUNDATION,26-4709613,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1495049.0,371245.0,
OPEN MEDICINE FOUNDATION INC,26-4712664,Fund Raising and/or Fund Distribution (Medical Research),Yes,2020.0,4062970.0,4360322.0,
GLOBAL CENTER FOR MEDICAL INNOVATION INC,26-4723391,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,10007289.0,6640742.0,3366547.0
GWENDOLYN STRONG FOUNDATION,26-4734446,"Fund Raising and/or Fund Distribution (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,667834.0,564168.0,103666.0
GLOBAL FOOD PROTECTION INSTITUTE,26-4736337,"Research Institutes and/or Public Policy Analysis (Food, Agriculture and Nutrition)",Yes,2020.0,3785360.0,3754118.0,31242.0
MARYS PLACE BY THE SEA INC,26-4736451,"Cancer (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1057139.0,840063.0,217076.0
WESTERN PENNSYLVANIA HOME HEALTH ASSOCIATION,26-4748747,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,837869.0,916992.0,
GLADE RUN MEDICAL ASSOCIATES,26-4750523,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,7978684.0,12287565.0,
GREEN LAKE RENEWAL INC,26-4753668,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,622335.0,326711.0,295624.0
BROADCOM FOUNDATION,26-4754581,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,11669414.0,5768909.0,
MORDECHAI & VIRGINIA OVED FOUNDATION,26-4776497,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,825959.0,236452.0,
BRESKY FOUNDATION,26-4784817,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,907016.0,886270.0,
HUDSON SQUARE DISTRICT MANAGEMENT ASSOCIATION INCORPORATED,26-4808219,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,3478490.0,5232577.0,
MSACL,26-4812173,Health - General and Rehabilitative N.E.C.,Yes,2020.0,1105353.0,786303.0,319050.0
DARTMOUTH-HITCHCOCK HEALTH,26-4812335,Management & Technical Assistance (Health — General and Rehabilitative),Yes,2020.0,894560.0,17940882.0,
LEEP FOUNDATION,26-4818874,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2464654.0,590465.0,
MONTAGE MEDICAL GROUP,26-4826604,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,52709173.0,48165480.0,4543693.0
QUEENS-LONG ISLAND RENAL INSTITUTE,26-4827558,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,5080369.0,5139230.0,
INSPIRA HEALTH NETWORK LIFE INC,26-4827936,"Health, General and Financing (Health — General and Rehabilitative)",Yes,2020.0,29326508.0,27307756.0,2018752.0
NUVASIVE SPINE FOUNDATION,26-4835245,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,995645.0,1057886.0,
FAB FOUNDATION,26-4836002,"Engineering (Science and Technology Research Institutes, Services)",Yes,2020.0,4362728.0,4359956.0,2772.0
BAVARIAN FOUNDATION,26-6007704,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1005061.0,670117.0,
JOHN C BOCK FOUNDATION,26-6014448,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,534598.0,416955.0,
RUTH PADDISON CHARITABLE TR,26-6050520,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1004437.0,526272.0,
DAMKOEHLER FAMILY FOUNDATION,26-6055323,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1898076.0,141541.0,
WILLIAM GUMPERT FOUNDATION,26-6065762,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1217206.0,2675884.0,
NEAL AND MARLENE GOLDMAN FOUNDATION,26-6091059,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1069591.0,111234.0,
RONALD D DEFFENBAUGH FOUNDATION,26-6095573,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,8014275.0,2863411.0,
FUND FOR INDIVIDUAL POTENTIAL,26-6112299,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2973036.0,2750856.0,
HAMMEL FAMILY FOUNDATION,26-6120435,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,601624.0,525487.0,
CABBADETUS FOUNDATION,26-6124255,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1655204.0,1143377.0,
DON AND JEAN WAGNER CHARITABLE FOUNDATION,26-6125236,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,827908.0,202991.0,
DOE FAMILY FOUNDATION,26-6126856,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4217887.0,2783759.0,
CONRAD BUEDEL FAMILY FOUNDATION,26-6135624,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,754225.0,600.0,
BRIAN & JOELLE KELLY FAMILY FDN,26-6139249,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3699131.0,3060685.0,
AUGUSTONE FOUNDATION,26-6140808,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,535753.0,112514.0,
TIMOTHY AND MICHELE BARAKETT FOUNDATION,26-6140904,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,9384595.0,16141909.0,
TWENTY-SEVEN FOUNDATION,26-6147397,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1996721.0,2956624.0,
SOMMERS FAMILY FOUNDATION,26-6147620,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1296239.0,161195.0,
MARIAM AND ROBERT HAYES CHARITABLE TR,26-6147884,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,870235.0,2494531.0,
LA FONDATION CUVELIER,26-6157257,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1512346.0,253562.0,
ROGER I AND RUTH B MACFARLANE FOUNDATION,26-6157610,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1530150.0,2772298.0,
MICHAEL D LEVIN AND JOANNE LEVIN FOUNDATION,26-6157640,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,501286.0,106274.0,
FRED A SEIGEL AND DONNA P SEIGEL CHARITABLE TRUST,26-6158312,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1053487.0,1003282.0,
SOURLIS IRRV CHARITABLE TR,26-6158755,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1510809.0,347098.0,
DAVID AND MEREDITH KAPLAN FOUNDATION,26-6166619,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5157187.0,3626494.0,
EMILY AND BILL SEARCY CHARITABLE TR,26-6185511,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,552900.0,427178.0,
STRATUS FOUNDATION,26-6190250,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5510904.0,572998.0,
DE RAMEL FOUNDATION,26-6190697,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,916192.0,738847.0,
CORABELLE LUMPS FOUNDATION,26-6208988,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2057631.0,7949339.0,
FLEMING FAMILY FOUNDATION,26-6214365,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1325815.0,2487225.0,
ANONYMOUS TRUST,26-6220561,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,10349676.0,10400673.0,
ROY G AND NAOMI HARMON JOHNSTON FAMILY FOUNDATION,26-6286807,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1960556.0,75295.0,
JEROME NERENBERG 2000 CHARITABLE TR,26-6307600,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,615417.0,1412489.0,
DR CHARLES J HOMCY CHARITABLE FOUNDATION,26-6356357,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,525165.0,713955.0,
THE BAKER INSTITUTE FOR CHILDREN WITH HEARING LOSS,26-6385104,"Fund Raising and/or Fund Distribution (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,632169.0,282085.0,350084.0
ADIRONDACK TR COMPANY COMMUNITY FUND,26-6394395,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1321851.0,788866.0,532985.0
GALENUS FOUNDATION,26-6400729,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4599844.0,778063.0,
ADELE BRAUN CHARITABLE FOUNDATION,26-6407431,"Single Organization Support (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,51278625.0,2908369.0,
VIOLE FAMILY FOUNDATION,26-6559283,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,773199.0,62510.0,
OFFUTT FAMILY FOUNDATION,26-6574983,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,20499333.0,744000.0,
FIRST MIDWEST CHARITABLE TRUST,26-6654290,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2371011.0,1541283.0,829728.0
AVANESSIANS FOUNDATION,26-6671956,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1825968.0,2982567.0,
PRESERVATI FAMILY CHARITABLE TR FOUNDATION,26-6679325,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5583288.0,2332569.0,
BEACON FOUNDATION CHARITABLE TR,26-6684203,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1185951.0,966314.0,
CHARLES T SCHULZE FOUNDATION,26-6696622,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1426315.0,18632.0,
REBECCA AND NATHAN MILIKOWSKY FAMILY FOUNDATION,26-6711434,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1086535.0,1600820.0,
HELEN AND JABIE HARDIN CHARITABLE TR,26-6754597,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,925658.0,1364423.0,
THE LESLIE ST FANG FOUNDATION,26-6780102,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2034692.0,320869.0,
MARJORIE R LINDSEY CHARITABLE FOUNDATION TR,26-6906657,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2136252.0,2809326.0,
OPRAH WINFREY CHARITABLE FOUNDATION,26-6908382,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,15499605.0,45019252.0,
THE DAVID BELK CANNON FOUNDATION,27-0004751,"Single Organization Support (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4765855.0,5764767.0,
CARLSON FOUNDATION,27-0005700,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,618267.0,2839887.0,
UTAH PARTNERS FOR HEALTH,27-0021804,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,4154187.0,3671005.0,483182.0
PIPKIN CHARITABLE FOUNDATION,27-0029373,"Single Organization Support (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2425294.0,1542518.0,882776.0
CENTER FOR ASBESTOS RELATED DISEASE INC,27-0037896,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,3046183.0,2788486.0,257697.0
SMART GROWTH AMERICA,27-0038938,"Research Institutes and/or Public Policy Analysis (Environmental Quality, Protection and Beautification )",Yes,2020.0,5527186.0,5990543.0,
HUNTSVILLE DREAM CENTER INC,27-0039458,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1405219.0,921211.0,484008.0
PINE TREE HOUSING AGENCY,27-0039482,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,556281.0,20842.0,535439.0
RONALD AND CAROL MOORE FAMILY FOUNDATION,27-0039609,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,26190290.0,1007952.0,
THE LESTER AND SUE SMITH FOUNDATION,27-0040023,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,7619950.0,8525915.0,
THE AUTISM COMMUNITY IN ACTION,27-0048002,"Autism (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1524509.0,1527770.0,
COALINGA VALLEY HEALTH CLINICS INC,27-0052204,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,1735809.0,1337965.0,397844.0
UNITED FAMILY PRACTICE HEALTH CENTER,27-0052697,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,16474993.0,16347842.0,127151.0
AFRICAN AMERICAN REACH & TEACH HEALTH MINISTRY,27-0054883,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,522160.0,488566.0,33594.0
SPECTRA HEALTH,27-0056777,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2021.0,7588234.0,5823706.0,1764528.0
KENNETH E BORING CHARITABLE FOUNDATION INC,27-0063662,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,691582.0,257775.0,
M P A GROUP NFP LTD,27-0069327,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,1507279.0,1871263.0,
MAINE CENTER FOR COASTAL FISHERIES,27-0069386,"Marine Science and Oceanography (Science and Technology Research Institutes, Services)",Yes,2020.0,780053.0,1184786.0,
FAINBARG FAMILY FOUNDATION,27-0070955,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1251182.0,169618.0,
TREHAN FOUNDATION INC,27-0073510,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1125582.0,755029.0,
SHANNON REAL ESTATE SERVICES,27-0075630,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,8270593.0,3531709.0,4738884.0
ROGER NUNCIO FOUNDATION,27-0076168,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,920681.0,291815.0,
RINTELS FAMILY FOUNDATION,27-0076648,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,546859.0,74145.0,
LITTLE FRIENDS CENTER FOR AUTISM INC,27-0076827,"Autism (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,788940.0,943063.0,
GOOD SAMARITAN HEALTH CENTER OF GWINNETT INC,27-0080400,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,6645338.0,4244598.0,2400740.0
PREFERRED HOSPICE INC,27-0086345,Health - General and Rehabilitative N.E.C.,Yes,2020.0,3154508.0,2320466.0,834042.0
THE CORONA SELF-HELP CENTER INC,27-0090081,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,1950353.0,2013679.0,
SCHLINGER CHRISMAN FOUNDATION,27-0096038,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2326046.0,2015660.0,
CLUB NOVA COMMUNITY INC,27-0103430,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020.0,1091020.0,902405.0,188615.0
AGAPE PREGNANCY RESOURCE CENTER,27-0111679,Family Planning Centers (Health — General and Rehabilitative),Yes,2020.0,735708.0,502273.0,233435.0
KLEINSCHMIDT FAMILY FOUNDATION,27-0112179,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,635334.0,811593.0,
ST DAVIDS COMMUNITY HEALTH FOUNDATION INITIATIVES,27-0112979,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Yes,2020.0,2838527.0,2623348.0,215179.0
VALUES INTO ACTION INC,27-0119772,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,6268228.0,5792789.0,475439.0
131 STEUART STREET FOUNDATION,27-0129759,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2748161.0,2308688.0,439473.0
OPTOMETRY GIVING SIGHT,27-0131388,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1634639.0,1516171.0,118468.0
CENTER FOR AUTISM,27-0155489,"Patient Services - Entertainment, Recreation (Health — General and Rehabilitative)",Yes,2020.0,1239047.0,1162113.0,76934.0
ASCENT HEALTH INC,27-0159558,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020.0,9225274.0,8879374.0,345900.0
RIVER VALLEY COMMUNITY OUTREACH CENTER,27-0164040,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,673516.0,1070591.0,
LEO W SEAL UNITED METHODIST CHURCH TRUST,27-0169216,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1001575.0,856801.0,
MUSCULOSKELETAL ORTHOPEDIC RESEARCH AND EDUCATION FOUNDATION,27-0170045,Medical Specialty Research (Medical Research),Yes,2020.0,777117.0,881304.0,
TBHC MEDICAL TESTING SERVICES,27-0174413,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,813430.0,636128.0,177302.0
TBHC PHYSICIAN SERVICES,27-0174589,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,13757961.0,19512255.0,
TBHC PEDIATRIC SERVICES,27-0174684,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,3285154.0,3902734.0,
TRAILVIEWS FOUNDATION,27-0174991,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1336351.0,457909.0,
SCHOOL THE WORLD,27-0176563,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1727297.0,1527170.0,200127.0
CENTER FOR COMPREHENSIVE CARE AND DIAGNOSIS OF INHERITED BLOOD,27-0179192,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,68646232.0,71221235.0,
BLUE MARBLE SPACE,27-0184094,"Astronomy (Science and Technology Research Institutes, Services)",Yes,2020.0,2266139.0,2292741.0,
HUMAN IMPACT PARTNERS,27-0193587,Alliance/Advocacy Organizations (Health — General and Rehabilitative),Yes,2020.0,2800700.0,2155835.0,644865.0
INHERENT FOUNDATION,27-0214492,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,10161002.0,1140360.0,
LONG ISLAND FQHC INC,27-0216316,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,47003068.0,44536502.0,2466566.0
NATIONAL PANCREATIC CANCER FOUNDATION,27-0217794,"Cancer (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1287665.0,447330.0,840335.0
WOODTIGER FUND,27-0222692,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1944308.0,3990998.0,
MITCHELL SWABACK CHARITIES INC,27-0250769,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1613333.0,1028255.0,585078.0
GLOBAL COMMISSION PARTNERS INC,27-0259331,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1437516.0,1194102.0,243414.0
ALASKA E-HEALTH NETWORK INC,27-0260346,"Research Institutes and/or Public Policy Analysis (Public, Society Benefit — Multipurpose and Other)",Yes,2020.0,6085640.0,3826576.0,2259064.0
PHYSICIAN ENTERPRISE LLC,27-0263214,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,178945425.0,199642368.0,
TRELLIS FOR TOMORROW,27-0268541,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Yes,2020.0,552679.0,469779.0,82900.0
ASSISTANCE FUND INC,27-0270731,Health - General and Rehabilitative N.E.C.,Yes,2020.0,383403392.0,328746087.0,54657305.0
PAZERA FAMILY FOUNDATION,27-0282756,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,505160.0,93299.0,
TORIUMI FAMILY FOUNDATION,27-0290150,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,965005.0,209385.0,
LIFE FLIGHT NETWORK FOUNDATION,27-0294759,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,11064892.0,12303730.0,
AMERICAN INDIAN CANCER FOUNDATION,27-0300026,"Cancer (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,4261089.0,3454693.0,806396.0
MOSAIC COMPANY FOUNDATION,27-0304734,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2270000.0,2195365.0,
FAMILY VALUES AT WORK A MULTI-STATE CONSORTIUM,27-0321696,Research Institutes and/or Public Policy Analysis (Human Services — Multipurpose and Other),Yes,2020.0,11114113.0,5259951.0,5854162.0
GRANITE PATHWAYS,27-0327352,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,3828619.0,4304618.0,
THE LIEGL FAMILY FOUNDATION INC,27-0331346,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4152665.0,2067914.0,
CHESAPEAKE REGIONAL INFORMATION SYSTEM FOR OUR PATIENTS INC,27-0332436,Management & Technical Assistance (Health — General and Rehabilitative),Yes,2020.0,43601525.0,43068200.0,533325.0
BEBPA INC,27-0339401,"Professional Societies, Associations (Health — General and Rehabilitative)",Yes,2020.0,543289.0,310000.0,233289.0
FIBROLAMELLAR CANCER FOUNDATION,27-0341021,"Nonmonetary Support N.E.C. (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1841395.0,2741615.0,
WESTCARE PACIFIC ISLANDS INC,27-0359330,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,2119783.0,2075125.0,44658.0
ROBERT P AND MARIANA R SCRIPPS FAMILY FOUNDATION,27-0363761,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,954111.0,1054646.0,
PENN TREATY SPECIAL SERVICES DISTRICT,27-0368388,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,850493.0,833549.0,
INSTITUTE FOR HEALTHCARE OPTIMIZATION INC,27-0373299,"Research Institutes and/or Public Policy Analysis (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1666306.0,1300369.0,365937.0
GIVEMN,27-0374054,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2144305.0,1624957.0,519348.0
EAST HARRIS COUNTY EMPOWERMENT COUNCIL,27-0377576,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,2027289.0,2027522.0,
JC LEWIS PRIMARY HEALTHCARE CENTER INC,27-0380035,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,6461227.0,5793904.0,667323.0
OMEGA MEDICAL GRANTS ASSOCIATION,27-0383913,Fund Raising and/or Fund Distribution (Medical Research),Yes,2020.0,10095451.0,8223103.0,1872348.0
CHILD HEALTH PATIENT SAFETY ORGANIZATION INC,27-0386722,Research Institutes and/or Public Policy Analysis (Medical Research),Yes,2020.0,995350.0,923406.0,71944.0
WILLIAM V CAMPBELL FAMILY FOUNDATION,27-0387300,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1167462.0,2299467.0,
GREENWOOD COUNTY COMMUNITY FOUNDATION INC,27-0388708,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,1095210.0,786701.0,308509.0
SPECTRUM MEDICAL CARE CENTER,27-0389889,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,21782725.0,14848219.0,6934506.0
BOB AND PAT BARKER FOUNDATION INC,27-0401405,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1447672.0,963059.0,
NEW DAY FOR CHILDREN,27-0406125,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2020.0,853999.0,709986.0,144013.0
